qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,x,y,z
1319425902,-918,-76,343
1324425902,-918,-78,343
1329425902,-917,-79,338
1334425902,-919,-83,339
1339425902,-911,-83,340
1344425902,-915,-80,341
1349425902,-908,-82,336
1354425902,-908,-81,344
1359425902,-906,-84,347
1364425902,-909,-78,347
1369425902,-921,-79,349
1374425902,-924,-80,352
1379425902,-934,-77,346
1384425902,-937,-77,346
1389425902,-944,-77,345
1394425902,-947,-72,347
1399425902,-942,-71,347
1404425902,-945,-73,342
1409425902,-941,-74,338
1414425902,-933,-73,337
1419425902,-927,-71,334
1424425902,-919,-68,334
1429425902,-910,-71,333
1434425902,-907,-73,338
1439425902,-902,-71,337
1444425902,-899,-79,340
1449425902,-896,-80,342
1454425902,-895,-74,345
1459425902,-899,-77,341
1464425902,-902,-76,348
1469425902,-902,-75,352
1474425902,-904,-68,356
1476704970,-903,-68,354
1481704970,-908,-74,354
1486704970,-910,-79,356
1491704970,-916,-74,350
1496704970,-916,-77,346
1501704970,-925,-76,345
1506704970,-925,-84,352
1511704970,-923,-86,353
1516704970,-930,-90,344
1521704970,-931,-89,345
1526704970,-929,-84,336
1531704970,-931,-76,341
1536704970,-933,-77,339
1541704970,-932,-74,337
1546704970,-930,-71,341
1551704970,-928,-64,346
1556704970,-917,-62,340
1561704970,-910,-59,345
1566704970,-901,-53,338
1571704970,-892,-54,334
1576704970,-888,-53,343
1581704970,-884,-56,342
1586704970,-887,-63,344
1591704970,-889,-60,342
1596704970,-899,-58,344
1601704970,-911,-63,346
1606704970,-928,-67,341
1611704970,-940,-79,344
1616704970,-944,-80,347
1621704970,-948,-86,345
1626704970,-947,-84,346
1631704970,-945,-89,345
1636704970,-936,-90,350
1641704970,-921,-90,353
1646704970,-913,-86,348
1651704970,-900,-84,351
1654045052,-894,-88,348
1659045052,-889,-90,347
1664045052,-885,-87,348
1669045052,-886,-91,343
1674045052,-885,-92,353
1679045052,-886,-94,352
1684045052,-889,-98,351
1689045052,-896,-101,355
1694045052,-898,-102,355
1699045052,-903,-104,356
1704045052,-910,-106,356
1709045052,-916,-104,355
1714045052,-920,-106,352
1719045052,-921,-105,352
1724045052,-921,-106,346
1729045052,-921,-106,345
1734045052,-921,-105,352
1739045052,-915,-104,351
1744045052,-910,-102,358
1749045052,-914,-97,366
1754045052,-923,-88,361
1759045052,-931,-83,345
1764045052,-935,-93,304
1769045052,-927,-96,275
1774045052,-913,-94,299
1779045052,-903,-86,322
1784045052,-902,-80,339
1789045052,-902,-73,337
1794045052,-904,-76,350
1799045052,-905,-71,381
1804045052,-909,-72,373
1809045052,-911,-73,350
1814045052,-905,-68,369
1819045052,-901,-64,390
1824045052,-904,-56,389
1829045052,-909,-48,369
1831476734,-913,-57,335
1836476734,-907,-49,338
1841476734,-900,-52,335
1846476734,-896,-55,334
1851476734,-894,-59,333
1856476734,-891,-58,341
1861476734,-892,-60,354
1866476734,-896,-62,359
1871476734,-898,-60,360
1876476734,-898,-59,360
1881476734,-902,-56,359
1886476734,-901,-55,361
1891476734,-902,-53,370
1896476734,-905,-57,374
1901476734,-905,-63,377
1906476734,-912,-61,373
1911476734,-909,-65,374
1916476734,-911,-64,373
1921476734,-912,-68,369
1926476734,-907,-71,369
1931476734,-907,-66,365
1936476734,-903,-69,362
1941476734,-903,-65,360
1946476734,-905,-66,356
1951476734,-905,-62,356
1956476734,-907,-62,350
1961476734,-903,-68,349
1966476734,-902,-67,351
1971476734,-902,-71,350
1976476734,-903,-73,356
1981476734,-903,-71,353
1986476734,-903,-70,350
1991476734,-901,-70,354
1996476734,-905,-78,359
2001476734,-904,-73,360
2006476734,-901,-75,369
2008847330,-899,-81,367
2013847330,-902,-77,371
2018847330,-903,-76,372
2023847330,-905,-75,368
2028847330,-903,-72,367
2033847330,-904,-77,367
2038847330,-900,-74,368
2043847330,-904,-76,371
2048847330,-903,-79,371
2053847330,-902,-77,365
2058847330,-900,-78,359
2063847330,-904,-82,344
2068847330,-904,-81,338
2073847330,-894,-77,381
2078847330,-896,-71,394
2083847330,-899,-71,387
2088847330,-911,-66,369
2093847330,-914,-69,362
2098847330,-907,-71,361
2103847330,-906,-72,356
2108847330,-902,-70,352
2113847330,-903,-74,347
2118847330,-903,-76,350
2123847330,-904,-75,357
2128847330,-906,-72,358
2133847330,-910,-73,355
2138847330,-908,-71,356
2143847330,-904,-71,358
2148847330,-905,-67,361
2153847330,-904,-70,358
2158847330,-907,-68,360
2163847330,-900,-67,361
2168847330,-901,-67,360
2173847330,-901,-71,368
2178847330,-900,-75,372
2183847330,-899,-69,370
2186248474,-910,-70,372
2191248474,-903,-76,373
2196248474,-904,-70,377
2201248474,-907,-68,376
2206248474,-903,-68,372
2211248474,-901,-66,372
2216248474,-906,-70,363
2221248474,-904,-67,366
2226248474,-906,-68,365
2231248474,-903,-72,364
2236248474,-900,-77,364
2241248474,-905,-72,363
2246248474,-901,-74,364
2251248474,-902,-73,364
2256248474,-902,-73,366
2261248474,-904,-68,361
2266248474,-906,-70,356
2271248474,-905,-71,367
2276248474,-910,-69,362
2281248474,-906,-70,362
2286248474,-908,-70,357
2291248474,-907,-74,361
2296248474,-904,-76,366
2301248474,-906,-76,362
2306248474,-905,-78,363
2311248474,-904,-79,371
2316248474,-901,-77,370
2321248474,-903,-82,375
2326248474,-901,-83,370
2331248474,-903,-78,368
2336248474,-904,-75,368
2341248474,-901,-73,367
2346248474,-897,-70,368
2351248474,-897,-69,371
2356248474,-895,-71,370
2361248474,-900,-70,369
2363649608,-896,-73,372
2368649608,-901,-73,370
2373649608,-903,-76,368
2378649608,-906,-73,369
2383649608,-906,-74,368
2388649608,-907,-74,369
2393649608,-908,-67,364
2398649608,-905,-68,364
2403649608,-902,-65,358
2408649608,-908,-61,355
2413649608,-905,-62,359
2418649608,-904,-65,356
2423649608,-900,-71,358
2428649608,-901,-70,359
2433649608,-897,-72,363
2438649608,-896,-74,365
2443649608,-898,-71,357
2448649608,-898,-76,362
2453649608,-898,-74,361
2458649608,-902,-73,364
2463649608,-904,-73,367
2468649608,-901,-74,367
2473649608,-903,-73,357
2478649608,-906,-78,368
