qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,val
0,-28
7692307,340
15384614,2057
23076921,4629
30769228,6135
38461535,6843
46153842,7838
53846149,8625
61538456,9080
69230763,9625
76923070,10145
84615377,10559
92307684,10930
99999991,11187
107692298,11467
115384605,11827
123076912,12058
130769219,12170
138461526,12311
146153833,12455
153846140,12621
161538447,12831
169230754,12932
176923061,12932
184615368,12986
192307675,13093
199999982,13205
207692289,13231
215384596,13177
223076903,13189
230769210,13242
238461517,13256
246153824,13245
253846131,13226
261538438,13205
269230745,13252
276923052,13329
284615359,13245
292307666,13102
299999973,13123
307692280,13165
315384587,13135
323076894,13238
330769201,13586
338461508,14177
346153815,14721
353846122,14146
361538429,12572
369230736,12012
376923043,12532
384615350,12504
392307657,12138
399999964,12124
407692271,12126
415384578,12002
423076885,11955
430769192,11925
438461499,11825
446153806,11752
453846113,11694
461538420,11593
469230727,11498
476923034,11428
484615341,11355
492307648,11278
499999955,11217
507692262,11143
515384569,11054
523076876,11003
530769183,10951
538461490,10876
546153797,10795
553846104,10708
561439646,10636
569131953,10554
576824260,10430
584516567,10314
592208874,10243
599901181,10110
607593488,9912
615285795,9844
622978102,9863
630670409,9769
638362716,9580
646055023,9519
653747330,9470
661439637,9192
669131944,9027
676824251,9036
684516558,8856
692208865,8639
699901172,8620
707593479,8606
715285786,8501
722978093,8382
730670400,8265
738362707,8169
746055014,8106
753747321,8053
761439628,8015
769131935,8074
776824242,8053
784516549,7758
792208856,7553
799901163,7560
807593470,7473
815285777,7329
822978084,7270
830670391,7245
838362698,7210
846055005,7111
853747312,6934
861439619,6805
869131926,6777
876824233,6726
884516540,6621
892208847,6556
899901154,6504
907593461,6427
915285768,6359
922978075,6292
930670382,6301
938362689,6413
946054996,6329
953747303,6021
961439610,5932
969131917,6098
976824224,6135
984516531,6039
992208838,5965
999901145,5827
1007593452,5607
1015285759,5413
1022978066,5378
1030670373,5362
1038362680,5208
1046054987,5119
1053747294,5129
1061439601,5075
1069131908,4986
1076824215,4937
1084516522,4902
1092208829,4853
1099901136,4813
1107593443,4776
1115285750,4710
1122909810,4647
1130602117,4594
1138294424,4540
1145986731,4482
1153679038,4435
1161371345,4402
1169063652,4376
1176755959,4334
1184448266,4197
1192140573,4042
1199832880,4021
1207525187,4103
1215217494,4292
1222909801,4673
1230602108,5257
1238294415,5614
1245986722,4853
1253679029,3505
1261371336,3300
1269063643,3765
1276755950,3594
1284448257,3363
1292140564,3482
1299832871,3475
1307525178,3470
1315217485,3638
1322909792,3631
1330602099,3417
1338294406,3239
1345986713,3167
1353679020,3150
1361371327,3153
1369063634,3230
1376755941,3307
1384448248,3234
1392140555,3104
1399832862,3071
1407525169,3101
1415217476,3111
1422909783,3026
1430602090,2921
1438294397,2886
1445986704,2868
1453679011,2889
1461371318,2879
1469063625,2760
1476755932,2688
1484448239,2709
1492140546,2695
1499832853,2608
1507525160,2494
1515217467,2401
1522909774,2319
1530602081,2263
1538294388,2244
1545986695,2230
1553679002,2179
1561371309,2144
1569063616,2225
1576755923,2335
1584448230,2302
1592140537,2225
1599832844,2193
1607525151,2111
1615217458,2010
1622909765,1994
1630602072,1996
1638294379,1964
1645986686,1957
1653678993,1947
1661371300,1931
1669063607,1929
1676755914,1903
1684349456,1854
1692041763,1828
1699734070,1817
1707426377,1791
1715118684,1765
1722810991,1733
1730503298,1721
1738195605,1719
1745887912,1653
1753580219,1590
1761272526,1632
1768964833,1665
1776657140,1609
1784349447,1553
1792041754,1546
1799734061,1548
1807426368,1534
1815118675,1520
1822810982,1506
1830503289,1497
1838195596,1494
1845887903,1490
1853580210,1469
1861272517,1424
1868964824,1396
1876657131,1392
1884349438,1380
1892041745,1342
1899734052,1298
1907426359,1291
1915118666,1296
1922810973,1277
1930503280,1258
1938195587,1254
1945887894,1254
1953580201,1247
1961272508,1223
1968964815,1198
1976657122,1195
1984349429,1202
1992041736,1205
1999734043,1207
2007426350,1198
2015118657,1163
2022810964,1139
2030503271,1139
2038195578,1130
2045887885,1109
2053580192,1090
2061272499,1079
2068964806,1072
2076657113,1053
2084349420,1027
2092041727,1060
2099734034,1214
2107426341,1494
2115118648,1894
2122810955,2433
2130503262,2863
2138195569,2340
2145887876,1032
2153580183,616
2161272490,1100
2168964797,1067
2176657104,684
2184349411,562
2192041718,541
2199734025,551
2207426332,728
2215118639,985
2222810946,1037
2230503253,936
2238195560,934
2245789102,969
2253481409,931
2261173716,899
2268866023,894
2276558330,878
2284250637,864
2291942944,871
2299635251,859
2307327558,796
2315019865,735
2322712172,700
2330404479,651
2338096786,628
2345789093,667
2353481400,672
2361173707,621
2368866014,558
2376558321,562
2384250628,672
2391942935,649
2399635242,422
2407327549,312
2415019856,319
2422712163,268
2430404470,247
2438096777,287
2445789084,282
2453481391,245
2461173698,238
2468866005,263
2476558312,277
2484250619,287
2491942926,305
2499635233,324
2507327540,331
2515019847,336
2522712154,340
2530404461,350
2538096768,357
2545789075,362
2553481382,371
2561173689,373
2568865996,364
2576558303,364
2584250610,376
2591942917,376
2599635224,357
2607327531,324
2615019838,315
2622712145,336
2630404452,345
2638096759,340
2645789066,345
2653481373,422
2661173680,544
2668865987,600
2676558294,621
2684250601,520
2691942908,308
2699635215,268
2707327522,362
2715019829,331
2722712136,266
2730404443,301
2738096750,324
2745789057,298
2753481364,305
2761173671,331
2768865978,326
2776558285,331
2784250592,355
2791942899,343
2799635206,301
2807259266,312
2814951573,453
2822643880,628
2830336187,618
2838028494,495
2845720801,518
2853413108,593
2861105415,537
2868797722,481
2876490029,513
2884182336,560
2891874643,724
2899566950,1032
2907259257,1378
2914951564,1826
2922643871,1777
2930336178,614
2938028485,-198
2945720792,238
2953413099,448
2961105406,142
2968797713,172
2976490020,273
2984182327,182
2991874634,193
2999566941,270
